a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
4,0,5,0.82510346,1.293,-1.78734,4,426.62601,0
4,0,3,0.76982594,3.9397399,-5.2658901,4,405.49799,0
1,0,4,0.69109595,3.878,-3.5557301,1,204.31299,0
4,4,5,0.79190606,4.48,-4.4892602,2,302.37,0
5,0,6,0.78592736,5.3299999,-7.6907701,6,526.70898,0
1,0,3,0.81207567,5.2820001,-4.9607501,2,300.27298,0
4,1,2,0.8899371,2.573,-4.42554,4,389.38098,0
5,1,4,0.78043014,0.79799998,-0.92409998,3,299.37399,0
7,4,6,0.85722071,0.64200002,-4.7054801,4,442.54401,0
5,4,5,0.79488456,1.444,-4.5647898,4,364.453,0
6,4,5,0.81115335,0.17299999,-3.4595699,4,365.44098,0
6,4,5,0.81115335,0.211,-3.3066499,4,365.44098,0
5,4,8,0.84829938,2.9200001,-5.0749798,4,485.53098,0
8,3,7,0.83253211,0.67500001,-3.3708899,5,481.55298,0
6,0,8,1.0072352,2.0250499,-3.90133,3,526.45801,0
6,0,8,1.0072352,1.58552,-4.6881099,3,526.45801,0
6,0,8,1.0072352,1.91852,-5.4580302,3,526.45801,0
3,2,7,1.0302979,4.9110498,-7.12817,3,468.78497,0
7,2,13,0.77952313,5.5717402,-5.9753098,5,620.81,0
4,3,8,0.78139949,2.94206,-4.6206298,3,354.45801,0
2,1,6,0.72770929,6.4840002,-6.9720802,4,380.491,0
4,1,5,0.79794842,2.5209999,-3.5055001,4,384.47598,0
13,4,8,0.82721049,3.1247399,-3.9065599,3,747.96399,0
13,6,7,0.82969731,3.095,-3.56109,3,734.96899,0
11,1,11,0.80870777,3.8427401,-5.3373899,5,812.01801,0
12,2,7,0.81897765,3.2420001,-6.34092,6,810.00195,0
13,3,7,0.83382434,2.66453,-3.9109399,6,811.974,0
13,3,7,0.83382434,2.4690001,-5.6517601,6,811.974,0
12,2,7,0.8225193,2.9755299,-4.2728901,6,795.97498,0
12,2,7,0.8225193,2.78,-6.01371,6,795.97498,0
3,3,6,0.74347246,6.8779998,-6.99544,3,370.448,0
2,2,6,0.72020465,7.1859999,-7.3573899,3,354.44901,0
2,2,4,0.73071635,5.0619998,-5.2263999,2,268.35599,0
