a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight
6,3,23,0.81301802,4.6680002,-6.4398298,5,756.99701
6,3,24,0.80394769,6.296,-7.41079,4,763.04102
6,4,22,0.82188344,4.474,-6.0839801,4,706.93298
5,1,22,0.80044347,5.9949999,-6.3551402,4,704.961
5,3,22,0.79270875,6.5009999,-6.28443,4,690.97797
5,3,22,0.8054499,6.0190001,-6.6900601,4,704.961
6,3,22,0.81797171,4.7779999,-6.4997902,4,718.94397
5,3,21,0.81293458,5.0469999,-6.28652,4,676.90698
5,3,21,0.81695074,4.585,-5.9593101,4,662.88
5,3,22,0.80910522,5.6609998,-6.4882898,4,690.93396
5,3,23,0.80617863,6.6719999,-7.2424402,5,730.99896
6,3,24,0.80394769,6.296,-7.41079,4,763.04102
6,4,22,0.82188344,4.474,-6.0839801,4,706.93298
5,3,22,0.8054499,6.0190001,-6.6900601,4,704.961
5,3,22,0.81240368,5.54,-5.9048901,3,656.91699
5,3,22,0.81240368,5.54,-5.9048901,3,656.91699
6,3,24,0.80729014,5.8340001,-7.08358,4,749.01398
6,4,22,0.82597977,4.0120001,-5.7567701,4,692.90601
6,4,27,0.81641024,5.8969998,-7.3920999,4,806.06598
6,4,23,0.81658763,4.2319999,-5.8524399,4,705.94897
7,3,24,0.81341833,4.5910001,-6.35045,5,776.03998
6,4,25,0.8188132,4.401,-6.3410101,4,747.98596
7,4,25,0.84810537,4.2049999,-5.9695401,4,784.03998
6,3,25,0.81554782,5.7729998,-7.23103,4,777.02399
7,5,23,0.83443844,4.2989998,-5.83707,4,720.91602
6,4,23,0.82914591,3.5650001,-6.1197901,4,719.93201
6,4,21,0.83478111,3.053,-5.6881499,4,664.85199
6,4,21,0.83951706,2.5910001,-5.36094,4,650.82501
6,4,20,0.85186815,2.632,-3.4832001,2,582.79102
5,3,21,0.81695074,4.6799998,-6.29423,4,662.88
5,3,21,0.81695074,4.598,-6.29423,4,662.88
5,3,22,0.817307,5.3330002,-6.8466101,5,688.91797
5,3,21,0.81293458,5.1739998,-6.28652,4,676.90698
6,3,23,0.81442487,5.086,-6.4291601,4,720.95996
6,3,22,0.82188344,4.3870001,-6.2980199,4,704.91699
6,4,23,0.81030416,4.777,-6.0534601,4,719.97601
7,5,23,0.81904364,4.1129999,-6.5458202,5,742.96997
6,4,22,0.83478111,3.033,-5.5627098,4,664.85199
6,4,24,0.81030416,4.757,-5.92802,4,719.97601
5,3,20,0.83059597,4.177,-4.0892801,2,580.81897
5,3,21,0.80910522,5.454,-6.61373,4,690.93396
6,3,23,0.80781573,4.5830002,-5.8572001,4,719.97601
6,3,25,0.80467129,6.9489999,-7.9631701,5,789.07898
6,4,23,0.82204866,5.1269999,-6.6363602,5,732.97101
6,4,29,0.80989671,6.7810001,-7.79564,4,834.12
6,4,25,0.80919433,5.1160002,-6.25598,4,734.00299
7,4,26,0.82539868,3.8080001,-6.3603601,5,819.065
